title,year,name,type,character,n
Assignment to Kill,1968,Leon Greene,actor,The Big Man,8.0
Camelot,1967,Leon Greene,actor,Sir Turloc,
Carry on at Your Convenience,1971,Leon Greene,actor,Chef,19.0
Carry on Henry,1971,Leon Greene,actor,Torturer,25.0
Carry On... Don't Lose Your Head,1966,Leon Greene,actor,Malabonce,11.0
Flash Gordon,1980,Leon Greene,actor,Colonel of Battle Control Room,31.0
London Conspiracy,1974,Leon Greene,actor,Abel Gaunt,15.0
Royal Flash,1975,Leon Greene,actor,Grundwig,21.0
The Four Musketeers,1974,Leon Greene,actor,Swiss Officer,22.0
The Human Factor,1979,Leon Greene,actor,Tall Man,29.0
The Return of the Musketeers,1989,Leon Greene,actor,Captain Groslow,26.0
The Ritz,1976,Leon Greene,actor,Muscle Bound Patron,20.0
The Seven-Per-Cent Solution,1976,Leon Greene,actor,Squire Holmes,20.0
The Squeeze,1977,Leon Greene,actor,Commissionaire,12.0
Kungajakt,1944,Rolf Gregor,actor,Man,
Aberdeen,2000,Leo Gregory,actor,Young Man 1,33.0
Act of Grace,2008,Leo Gregory,actor,Dezzie,
All Things to All Men,2013,Leo Gregory,actor,Dixon,5.0
Big Fat Gypsy Gangster,2011,Leo Gregory,actor,Danny,53.0
Cass,2008,Leo Gregory,actor,Freeman,3.0
Daylight Robbery,2008,Leo Gregory,actor,Matty,9.0
Fallen Dreams,2001,Leo Gregory,actor,Rob,
Hamilton: I nationens intresse,2012,Leo Gregory,actor,Miller,12.0
Hooligans,2005,Leo Gregory,actor,Bovver,5.0
Northmen - A Viking Saga,2014,Leo Gregory,actor,Jorund,
One in the Chamber,2012,Leo Gregory,actor,Bobby Suverov,7.0
Payback Season,2012,Leo Gregory,actor,Andy,4.0
Stoned,2005,Leo Gregory,actor,Brian Jones,1.0
Suzie Gold,2004,Leo Gregory,actor,Darren,27.0
The Big I Am,2010,Leo Gregory,actor,Skinner,1.0
The Hooligan Factory,2014,Leo Gregory,actor,Slasher,9.0
The Mark of Cain,2007,Leo Gregory,actor,Lance Corporal Quealey,9.0
The Ninth Cloud,2014,Leo Gregory,actor,Brett,5.0
Thorne: Scaredycat,2010,Leo Gregory,actor,Sean Bracher,
Top Dog,2014,Leo Gregory,actor,Billy Evans,
Tristan + Isolde,2006,Leo Gregory,actor,Simon,12.0
Wild Bill,2011,Leo Gregory,actor,Terry,15.0
A Foreign Affair,1948,Leo (III) Gregory,actor,Russian Soldier,
McVicar,1980,Leonard Gregory,actor,Jimmy Collins,10.0
Deadtime,2013,Leon Grey,actor,Security Guard #3,19.0
Raven's Cabin,2012,Leon Grey,actor,Steven Wong,
Teenage Kung Fu Cottontails,2014,Blandon Griffin,actor,Swat,
The Karate Kid Part III,1989,Thomas Ian Griffith,actor,Mr. Terry Silver,4.0
Kung Fu Jonny,2013,Matt Griffo,actor,Mike The Henchman,
"Motylem jestem, czyli romans czterdziestolatka",1976,Leon Grigoriew,actor,Master of Illusion,22.0
Between the Lines,1977,Leo Grillo,actor,Car Owner,26.0
Deirdre's Party,1998,Leo Grillo,actor,Leonard,1.0
Magic,2010,Leo Grillo,actor,Brad Fairmont,2.0
Zyzzyx Rd,2006,Leo Grillo,actor,Grant,1.0
A Man Possessed,2016,Leonidas Grimanis,actor,The Well Dressed Man,9.0
Game Theory,2009,Leonidas Grimanis,actor,Rick,
Heart of the Beast,2017,Leonidas Grimanis,actor,Ulysses Phillips,
Helper,2013,Leonidas Grimanis,actor,Robert Kubruss,2.0
The Descending,2011,Leonidas Grimanis,actor,Officer Mike,3.0
The Pine Overcoat,2013,Leonidas Grimanis,actor,Death,
The Audition (VIII),2014,Leo Grinberg,actor,Alex,
The Frozen Ground,2013,Leo Grinberg,actor,Frank Rothschild,23.0
Wildlike,2014,Leo Grinberg,actor,Josh,31.0
Filial,1988,Leonid Grivenev,actor,Bit Part,
"Banshchik prezidenta, ili Pasechniki Vselennoy",2010,Leonid Gromov,actor,Valera,
Bednaya Sasha,1997,Leonid Gromov,actor,Policeman,16.0
Gromozeka,2011,Leonid Gromov,actor,Mozerov,3.0
Gruz 200,2007,Leonid Gromov,actor,"Artem, Professor of Scientific Atheism",3.0
Mama ne goryuy 2,2005,Leonid Gromov,actor,Warden,22.0
Marafon,2013,Leonid Gromov,actor,Pool director,
Mechenosets,2006,Leonid Gromov,actor,Roshchin,3.0
Melkiy bes,1995,Leonid Gromov,actor,Peredonov's friend,
Na tebya upovayu,1992,Leonid Gromov,actor,Mazuta,
Obitaemyy ostrov,2009,Leonid Gromov,actor,Gramenau,18.0
Obitaemyy ostrov. Skhvatka,2009,Leonid Gromov,actor,Gramenau,14.0
Potseluy babochki,2006,Leonid Gromov,actor,The Marshal,
Pribytie poezda,1995,Leonid Gromov,actor,"(segment ""Excercise No.5"")",12.0
"Proshchayte, doktor Freyd",2004,Leonid Gromov,actor,Vasili,5.0
V dvizhenii,2002,Leonid Gromov,actor,Investigator,
Zhara,2006,Leonid Gromov,actor,Militsioner,19.0
[Anti]killer,2002,Leonid Gromov,actor,Baykov,30.0
Sing Your Way Home,1945,Leo Gronich,actor,Boy,
Rickey L Colbert Jr's Where the Truth Lies,2017,Leola Gross,actor,Aunt Henneietta,
God's Step Children,1938,Leon Gross,actor,Orchestra Leader,16.0
Daniel,1983,Leon (II) Gross,actor,Shamus #1,32.0
Kung Fu Traveler,2017,Darren Grosvenor,actor,Dulan,
Romeo and Juliet (II),1916,Leonard Grover,actor,Old Man,7.0
The Coming Power,1914,Leonard Grover,actor,Miron Mendel,4.0
The Day of Days,1914,Leonard Grover,actor,George Bross,5.0
Die beiden Stoffl,1935,Leo Gruber,actor,Sänger,
"Karate, the Hand of Death",1961,Maurice Gruel,actor,Maurice,10.0
Alina (II),2017,Leon Gruenbaum,actor,Genes and Machines,25.0
Kungajakt,1944,Manne Grünberger,actor,Begger,
Dolgaya schastlivaya zhizn,1967,Leonid Gubanov,actor,Trofimov,
Dolgiy put,1957,Leonid Gubanov,actor,Dmitri Orestovich,4.0
Kazaki,1961,Leonid Gubanov,actor,Dmitri Olenin,1.0
Talanty i poklonniki,1973,Leonid Gubanov,actor,Ivan Semyonych Velikatov,3.0
Tri sestry,1964,Leonid Gubanov,actor,Andrei,4.0
Ubiystvo na ulitse Dante,1956,Leonid Gubanov,actor,syn madam Kupo,12.0
Les demoiselles de Rochefort,1967,Leo Guerard,actor,Dancer,36.0
Goal!,2005,Leonardo Guerra,actor,10-Year-Old Santiago,1.0
Susan's Plan,1998,Leonardo Guerra,actor,Tom,23.0
"Finisterre, donde termina el mundo",1998,Leopoldino Guerreiro,actor,Dueño restaurante árabe,19.0
Kung patatawarin ka ng bala ko!,1991,Jimmy Guerrero,actor,Elmo,17.0
Convicted,2017,Leon Gugel,actor,Detective,
Hellaware,2013,Leo Gugu,actor,Denis,
Samkauli satrposatvis,1971,Leomer Gugushvili,actor,Detective,12.0
Kung patatawarin ka ng bala ko!,1991,De Guia,actor,Policeman,46.0
Say Yes,1986,Leon Guide,actor,Conductor,27.0
Whisky Romeo Zulu,2004,Leonardo Guillermo,actor,Chico pareja,
Kung ako na lang sana,2003,Albert Guinto,actor,Greg's Barkada at Party,37.0
Total Recall,2012,Leo Guiyab,actor,Hauser Cover Identities,19.0
Breaking Tradition,2018,Leonidas Gulaptis,actor,Danny Smith,3.0
Changing Tides,2018,Leonidas Gulaptis,actor,Chase Bennett,
Gala & Godfrey,2016,Leonidas Gulaptis,actor,Phil,4.0
The Answer,2015,Leonidas Gulaptis,actor,James Donald Walters,1.0
The Answer,2015,Leonidas Gulaptis,actor,Walter,1.0
Toolies,2010,Leonidas Gulaptis,actor,Murray,2.0
3,1996,Leo Gullotta,actor,Vescovo di Pisa,4.0
Animali metropolitani,1987,Leo Gullotta,actor,Don Michele Amitrano,6.0
Bruno aspetta in macchina,1996,Leo Gullotta,actor,Ziino,3.0
Fatti della banda della Magliana,2005,Leo Gullotta,actor,Il giudice,5.0
Gli inaffidabili,1997,Leo Gullotta,actor,Bostik,4.0
Gole ruggenti,1992,Leo Gullotta,actor,Edoardo Lasagnetta - scriptwriter,3.0
Grandi magazzini,1986,Leo Gullotta,actor,Simoni,14.0
Guardiani delle nuvole,2004,Leo Gullotta,actor,La Rocca,
I carabbimatti,1981,Leo Gullotta,actor,Carabiniere Pasta,16.0
I carabbinieri,1981,Leo Gullotta,actor,Salvatore Caruso,3.0
Il Bi e il Ba,1986,Leo Gullotta,actor,Gaetano,2.0
Il camorrista,1986,Leo Gullotta,actor,comissario Iervolino,3.0
Il carniere,1997,Leo Gullotta,actor,Carlo Gabbiadini,6.0
Il padre e lo straniero,2010,Leo Gullotta,actor,Santini,4.0
Il paramedico,1982,Leo Gullotta,actor,Attorney,13.0
In questo mondo di ladri,2004,Leo Gullotta,actor,Leonardo,7.0
Incidenti,2005,Leo Gullotta,actor,Giornalista,
Italiani a Rio,1987,Leo Gullotta,actor,Salvatore Giuffrida,3.0
Italo Barocco,2014,Leo Gullotta,actor,Narrator,14.0
L'onorevole con l'amante sotto il letto,1981,Leo Gullotta,actor,Segretaria Sgarbozzi,9.0
L'onorevole con l'amante sotto il letto,1981,Leo Gullotta,actor,Onorevole Sgarbozzi,9.0
L'ora legale,2017,Leo Gullotta,actor,Padre Raffaele,7.0
L'uomo delle stelle,1995,Leo Gullotta,actor,Vito,11.0
La scorta,1993,Leo Gullotta,actor,Policeman,16.0
La soldatessa alla visita militare,1977,Leo Gullotta,actor,Captain Lopez - doctor,6.0
Mezzo destro mezzo sinistro - 2 calciatori senza pallone,1985,Leo Gullotta,actor,Juan Carlos Fulgencio,4.0
Mi manda Picone,1984,Leo Gullotta,actor,Sgueglia,9.0
Miss Right,1982,Leo Gullotta,actor,Benito,6.0
Nel giardino delle rose,1990,Leo Gullotta,actor,Armando,7.0
Nuovo Cinema Paradiso,1988,Leo Gullotta,actor,Usher,4.0
"Pacco, doppio pacco e contropaccotto",1993,Leo Gullotta,actor,Il frodatore fiscale conto terzi,1.0
Palla di neve,1995,Leo Gullotta,actor,Sidik,11.0
Scarlet Diva,2000,Leo Gullotta,actor,Dr. Vessi,13.0
Scugnizzi,1989,Leo Gullotta,actor,Fortunato Assante,1.0
Selvaggi,1995,Leo Gullotta,actor,Luigi,2.0
Simpatici & antipatici,1998,Leo Gullotta,actor,Gigetto,3.0
Sinbad of the Seven Seas,1989,Leo Gullotta,actor,Nadir,9.0
Spaghetti House,1982,Leo Gullotta,actor,Salvatore Manzilla,4.0
Squadra antitruffa,1977,Leo Gullotta,actor,Tarcisio Pollaroli - aka Er Fibbia,6.0
Stanno tutti bene,1990,Leo Gullotta,actor,Uomo armato sul tetto,12.0
Territori d'ombra,2001,Leo Gullotta,actor,Antonio,8.0
Testa o croce,1982,Leo Gullotta,actor,Walter,5.0
Teste di quoio,1981,Leo Gullotta,actor,Carrisi - l'interprete,8.0
Un uomo perbene,1999,Leo Gullotta,actor,Giovanni Pandico,5.0
Uomini uomini uomini,1995,Leo Gullotta,actor,Tony,
Vajont - La diga del disonore,2001,Leo Gullotta,actor,Mario Pancini,6.0
Military Academy with That Tenth Avenue Gang,1950,Leonard Gumley,actor,Upperclassman,
Sands of Iwo Jima,1949,Leonard Gumley,actor,Pvt. Sid Stein,18.0
The Karate Kid,2010,Xinhua Guo,actor,Tournament Doctor,20.0
Ill Manors,2012,Leon Gustaffe,actor,Prison Cleaner,17.0
"Kung marunong kang magdasal, umpisahan mo na",1996,King Gutierrez,actor,Ace,8.0
Kung aagawin mo ang lahat sa akin,1987,Tonton Gutierrez,actor,Troy,7.0
Kung Fu and Titties,2013,Karl 'Kung Fu' Guy,actor,Thug #7,
Sensory Deprivation,2015,Leon Guy,actor,Ranch customer,
Batalla en el cielo,2005,Leonardo Guzman,actor,Adolescentes que llegan de fiesta,
Kung ako na lang sana,2003,Patrick Guzman,actor,Greg,8.0
Outro Olhar,2012,Leonardo Gênesis,actor,Daniel,2.0
Preppies,1984,Leonard Haas,actor,Blackwel,10.0
Hot Stuff,1979,Leonard Haber,actor,Carmine's Hood #3,41.0
Matilda,1996,Leor Livneh Hackel,actor,Julius Rottwinkle,15.0
The Secret Life of Girls,1999,Leor Livneh Hackel,actor,Monte,8.0
Golden Ophelia,1974,Leo Haelterman,actor,Kelner,
Kasper in de onderwereld,1979,Leo Haelterman,actor,Dokter Molenaar,
Mein Leben im Off,2010,Leon Haffner,actor,Junge in der U-Bahn,
Kungliga Johansson,1934,Paul Hagman,actor,Furir Frid,
Tiger Lily,2015,Leonard Hahn,actor,Hagan,
Charleys Tante,1963,Leopold Hainisch,actor,Aristide Raby,
Der letzte Akt,1955,Leopold Hainisch,actor,Generalfeldmarschall Wilhelm Keitel,8.0
Die Hamburger Krankheit,1979,Leopold Hainisch,actor,Professor Placek,7.0
Dieses Lied bleibt bei Dir,1954,Leopold Hainisch,actor,Leopold Holzinger,13.0
Geliebte Bestie,1959,Leopold Hainisch,actor,Riley,12.0
Kung Fu Rascals,1992,Cleve Hall,actor,Old Wise Guy,9.0
The Earl of Pawtucket,1915,Louis Leon Hall,actor,Senator Barker,9.0
The Man Inside,1916,Louis Leon Hall,actor,Brett,8.0
The Man of Shame,1915,Louis Leon Hall,actor,M. Gerber,8.0
Kung Fu Brother,2014,Ron (II) Hall,actor,Nathan,
The Preacher and the Gun,2013,Leon Ham,actor,Chuck Williams,10.0
2by4,1998,Leo Hamill,actor,Paddy,8.0
Small Time (II),1996,Leon Hammond,actor,Bets,
Perils of Nyoka,1942,Leonard Hampton,actor,Arab Henchman [Script Name: Yussuf] [Ch.1,
Secret Service in Darkest Africa,1943,Leonard Hampton,actor,Burier 2 [Ch. 8,
Karateci Kiz,1974,Hayati Hamzaoglu,actor,Bekir Bulut,4.0
Gekijouban Shimajirou no wao!: Shimajirou to ehon no kuni,2016,Leo Han,actor,Kan,12.0
Gekijouban Shimajirou no wao!: Shimajirou to kujira no uta,2014,Leo Han,actor,Han Wisconsin Cambodia Police Guard,4.0
Happy Days,1929,Leo Hanley,actor,Chorus Man,77.0
The All-American,1932,Leo Hanley,actor,Football Player,
Shem the Penman Sings Again,2015,Leo Hanna,actor,Young John McCormack,
Kufferten,2012,Rasmus Leo Hansen,actor,Tysk soldat,33.0
Senioritis,2017,Leonard Hanson,actor,Student,
Kung Fu and Titties,2013,Chet Hardaway,actor,Thug #8,
Waters Rising,2007,Leo Hare,actor,Bodyguard,37.0
Waters Rising,2007,Leo Hare,actor,Hitman #1,37.0
Villaviciosa de al lado,2016,Leo Harlem,actor,Anselmo,2.0
Karate Kallie,2009,Petrus Harmse,actor,Frits Kotzé,5.0
Kung Fu Graffiti,2010,Danny Harpenau,actor,Football Player,
The Exile,1931,Leonard Harper,actor,Himself,
The Next Karate Kid,1994,Robert (III) Harrell,actor,Alpha Team member,
Contact,1997,Leon (III) Harris,actor,Leon Harris,22.0
The Mercy,2017,Leon (IV) Harris,actor,Dock Worker,
Hero at Large,1980,Leonard (II) Harris,actor,Mayor,8.0
Taxi Driver,1976,Leonard (II) Harris,actor,Charles Palantine,15.0
Gangsta Rap: The Glockumentary,2007,Leonard (IV) Harris,actor,Himself,
Not Another Black Movie,2016,Leonard (IV) Harris,actor,GLC,
The Wrath of Cain,2010,Leonard (X) Harris,actor,Prison Guard,57.0
The Undercover Man,2005,Leonardo Harris,actor,Juror,
Dog Run,1996,Leon Hartman,actor,Boy On Bus,9.0
A Daughter of Her People,1933,Leonhard Haskel,actor,Judith's Father,10.0
Das blaue Duell,1920,Leonhard Haskel,actor,"Adam Knieriem, Schuhmacher",
Das Geheimnis des Amerika-Docks,1919,Leonhard Haskel,actor,Alter Flickschuster,
Der brennende Acker,1922,Leonhard Haskel,actor,Pferdehändler,17.0
Der Knabe in Blau,1919,Leonhard Haskel,actor,Theaterdirektor,6.0
Der verlorene Schatten,1921,Leonhard Haskel,actor,Bürgermeister,8.0
Der verlorene Schuh,1923,Leonhard Haskel,actor,Prince Habakuk XXVI,
Judith Trachtenberg,1920,Leonhard Haskel,actor,Father Trachtenberg,3.0
Katinka,1918,Leonhard Haskel,actor,Filmschullehrer,
"Marizza, genannt die Schmuggler-Madonna",1922,Leonhard Haskel,actor,Pietro Scarzella,5.0
Robin Morris,1918,Leonhard Haskel,actor,Tom,
Uriel Acosta,1920,Leonhard Haskel,actor,De Silva,
Vier um die Frau,1921,Leonhard Haskel,actor,1. Gauner,16.0
Kung Fu Rascals,1992,Moto Hata,actor,Sushi Chief,16.0
Loser Love,1999,Leo J. Hatem,actor,Butler,13.0
Kungen av Atlantis,2018,Samuel Haus,actor,Skötaren Kim,15.0
A Village Romeo and Juliet,1992,Leopold Haverl,actor,Manz,
Traja svedkovia,1968,Leopold Haverl,actor,jurátus Kamil Ziaranský,1.0
Zlozor,1971,Leopold Haverl,actor,Vladyka,
Cooley High,1975,Maurice Leon Havis,actor,Willie,6.0
Flash Gordon,1980,Leonard Hay,actor,Ardentian Man,81.0
"Karate, the Hand of Death",1961,Hiroshi Hayashi,actor,Coin Dealer,14.0
The Karate Kid Part II,1986,Marc Hayashi,actor,Taro,23.0
Ordinary Decent Criminal,2000,Leonard Hayden,actor,Journalist,49.0
Red Headed Stranger,1986,George Leon Haynes,actor,Driscoll Townsperson,50.0
Things My Daddy Should've Told Me,2016,Leondre Trayn Haynes,actor,Wedding DJ,
Kung Fu Panda 2,2011,Dennis Haysbert,actor,Master Ox,12.0
Local Kung Fu 2,2017,Eepsita Hazarika,actor,Lucy,
Local Kung Fu 2,2017,Utkal Hazowary,actor,Arun Mohan,2.0
Local Kung Fu 2,2017,Utkal Hazowary,actor,Tarun Mohan,2.0
Kung fu,2004,Wen Hui He,actor,Jiang Bao,24.0
Chuet chung tit gam gong,2003,Leon Head,actor,Mr. Baron,
San tau chi saidoi,2000,Leon Head,actor,Spencer Matheson,
San wa,2005,Leon Head,actor,Dr. Smith,11.0
Xi yang tian shi,2002,Leon Head,actor,Flashback Hitman,
Karate Kallie,2009,Shaun Heath,actor,Tjommie 1,3.0
Kungen av Dalarna,1953,Sten Hedlund,actor,Swedish state minister,
Kungen av Dalarna,1953,Gustaf Hedström,actor,Man i telephone box,
Kungajakt,1944,Erik Hell,actor,Möllersten,5.0
Kungen kommer,1936,Folke Helleberg,actor,Lt. Julius von Matern,
Fantastic Beasts and Where to Find Them,2016,Leo (II) Heller,actor,Boy with Birthmark,28.0
Ready Player One,2018,Leo (II) Heller,actor,Reb Kid 2,
Stella's Last Weekend,2018,Leo (II) Heller,actor,Shark Boy,8.0
To Dust,2018,Leo (II) Heller,actor,Noam,
Just Married,1998,Gustav Leopold Hellwig,actor,Willi und Baby Nina Laura,20.0
Kung Fu Jonny,2013,Andrew Hempfling,actor,Lance,3.0
Feet!,2017,Leonard Hennessy,actor,Paul,
Kungsleden,1964,Mathias Henrikson,actor,Du (You),1.0
Kung Fu Graffiti,2010,Angelica (II) Henry,actor,Bar Fighter,
Exploits,2011,Leon (II) Henry,actor,Gregory,
Royal Cavalcade,1935,Leonard Henry,actor,Himself,80.0
Sunshine Ahead,1936,Leonard Henry,actor,Himself,
The Public Life of Henry the Ninth,1935,Leonard Henry,actor,Henry,1.0
The Robert Yummy Sandifer Story,2015,Leonard (II) Henry,actor,Restaurant,
9 Dead Gay Guys,2002,Leon Herbert,actor,Nev,12.0
Batman,1989,Leon Herbert,actor,Reporter,37.0
Double X: The Name of the Game,1992,Leon Herbert,actor,Ollie,6.0
Fedz,2013,Leon Herbert,actor,Kent,20.0
Fierce Creatures,1997,Leon Herbert,actor,Octopus Security Guard,30.0
Lucinda's Spell,1998,Leon Herbert,actor,Maddison,4.0
Point of No Return,1993,Leon Herbert,actor,Jim,
Salome's Last Dance,1988,Leon Herbert,actor,Namaan,23.0
Scandal,1989,Leon Herbert,actor,Lucky Gordon,25.0
South West 9,2001,Leon Herbert,actor,Isi,13.0
Four Friends,1981,James Leo Herlihy,actor,Mr. Carnahan,23.0
In the French Style,1963,James Leo Herlihy,actor,Dr. John Haislip,7.0
Teenage Kung Fu Cottontails,2014,Ricardo Herman,actor,Crowd scene,
"Kali Karate: Better to Be Alive, Than Dead!",2017,Sean Russel Herman,actor,Sensai Houston,1.0
Die Vermessung der Welt,2012,Leo (II) Hermann,actor,Student II,48.0
Kung-fu master!,1988,Aurélien Hermant,actor,Un jeune,8.0
Celeste & Estrela,2005,Leonardo Hernandes,actor,Funcionário Banco,
Teenage Kung Fu Cottontails,2014,Bryan (II) Hernandez,actor,Extra Boy on the street,
"Ooops, teka lang... Diskarte ko 'to!",2001,Leo (II) Hernandez,actor,Sonny's Men,71.0
G.W.B.,2011,Leonardo Hernandez,actor,Bistro Manager,
Lolo,1993,Leonardo Hernández,actor,Bobo,
"Kung ayaw mo, huwag mo!",1998,J.R. Herrera,actor,John,10.0
"Kung marunong kang magdasal, umpisahan mo na",1996,Subas Herrero,actor,Financier,10.0
Kung patatawarin ka ng bala ko!,1991,Subas Herrero,actor,Don Julian,8.0
On the Edge,2002,Leonard Herring,actor,Brady,27.0
Kung ikaw ay isang panaginip,2002,Richard Hervas,actor,Hip Hop Group Dancer,43.0
Kung Fu Skeleton,2017,Chris (II) Hess,actor,Dr. Chienne,
Billy Boy,1978,Leon Hesselson,actor,Boxer,27.0
Guns of the Trees,1961,Leonard Hicks,actor,Leonard,
Santa Claus Conquers the Martians,1964,Leonard Hicks,actor,Kimar,2.0
Muz bez srdce,1923,Leo Hieber,actor,Prince's Friend,10.0
A Prairie Home Companion,2006,Leon Hiland,actor,Fitzgerald Audience,
A Serious Man,2009,Leon Hiland,actor,Physics Student,
Achilles,2016,Leon Hiland,actor,Achilles,3.0
Let's Go to Prison,2006,Dana Leone Hildreth,actor,Punk Juror,28.0
Villi Pohjola,1955,Leo Hildén,actor,Uutispätkän kertoja,
Chi Ming yi Chun Kiu,2010,Leon Hill,actor,Creative Director,
Chiu kap ging lei yan,2013,Leon Hill,actor,Mr. Walker,
Dan sun nam nui,2011,Leon Hill,actor,CCBV News Anchor,
Drink Tea Ghost Man,2013,Leon Hill,actor,Henry,
Fu sing,2012,Leon Hill,actor,Club Member,
Gam chin dai gwok,2009,Leon Hill,actor,Colonel Charles Sutcliffe,
Largo Winch,2008,Leon Hill,actor,Hong Kong Annual Winch Meeting Guest,
Pou hark wong,2009,Leon Hill,actor,Sun Casino Executive,
Re lang qiu ai zhan,2011,Leon Hill,actor,Project Manager,
Revenge of the Green Dragons,2014,Leon Hill,actor,Plainclothes detective,
Sap ji sang ciu,2012,Leon Hill,actor,Talkshow Host,
Voyage,2013,Leon Hill,actor,Ryo's Father,
Wai nei chung ching,2010,Leon Hill,actor,Shareholder,
Yau lung hei fung,2009,Leon Hill,actor,Executive Board Member,
Der 7bte Zwerg,2014,Rob Leo (II) Hill,actor,Court Tinkerer,
Kungajakt,1944,Gösta Hillberg,actor,Stage worker,
Kungajakt,1944,Torsten Hillberg,actor,Actor,
The Karate Kid,2010,Cameron Hillman,actor,Mark,14.0
Kungen av Dalarna,1953,Gustaf Hiort af Ornäs,actor,Receptionist at Gustaf Wasa Hotell,
"Karate, the Hand of Death",1961,Joe Hirakawa,actor,Kosaka Harakawa,4.0
A Miracle in Spanish Harlem,2013,Leo Hirata,actor,Priest #2,
The Check Is in the Mail...,1986,Leonard Hirschfeld,actor,TV reporter,30.0
Daleko ot Sankt-Peterburga,1992,Leo Hirsons,actor,Bandit,
Midsummer Madness,2007,Leo Hirsons,actor,Wladimir,
The Last Soviet Movie,2003,Leo Hirsons,actor,Rider #1,
Tha Eastsidaz,2000,Leo Hobson,actor,Prisoner,88.0
Undoing Time,2008,Leo Mark Hodson,actor,Teaser,
Kung Fu Panda,2008,Dustin Hoffman,actor,Shifu,2.0
Kung Fu Panda 2,2011,Dustin Hoffman,actor,Shifu,3.0
Kung Fu Panda 3,2016,Dustin Hoffman,actor,Shifu,3.0
Shedding Skin,2007,Leonard E. Hoffman,actor,Little Bill Doyle,
Fremde Haut,2005,Leon Philipp Hofmann,actor,Melvin,26.0
Advocaat van de Hanen,1996,Leo Hogenboom,actor,Hoofdcommissaris van politie,
Afblijven,2006,Leo Hogenboom,actor,Rector,33.0
Antonia,1995,Leo Hogenboom,actor,Pastoor (The Village Priest),17.0
De tasjesdief,1995,Leo Hogenboom,actor,Arts ziekenhuis,16.0
"fl 19,99",1998,Leo Hogenboom,actor,Ober,
Ik ook van jou,2001,Leo Hogenboom,actor,Father Eric,7.0
Kankerlijers,2014,Leo Hogenboom,actor,Senior kinderarts,23.0
Kapitein Rob en het Geheim van Professor Lupardi,2007,Leo Hogenboom,actor,Eindredacteur,
Kruimeltje,1999,Leo Hogenboom,actor,Dokter 1,39.0
Pietje Bell,2002,Leo Hogenboom,actor,Aandeelhouder,23.0
Natas: The Reflection,1986,Leo Hohler,actor,Rancher,18.0
Tom Horn,1980,Leo Hohler,actor,Auction Deputy,30.0
"Un autre homme, une autre chance",1977,Leo Hohler,actor,Atlantic Telegrapher,
Homies,2010,Leonard Hohm,actor,Checker,8.0
The Blue Mansion,2009,Leong Mun Hoi,actor,Funeral Party Guest,
Baywatch,2017,Leo Hojnowski,actor,Cell Phone Kid,
Jack of the Red Hearts,2015,Leo Hojnowski,actor,Hargrove Boy,
The Adventures of Jody Shanan,1978,Leo Holland,actor,Cookie,8.0
Fighting,2009,Leonard Hollinger,actor,Text Message Man,63.0
Kungen av Dalarna,1953,Sven Holmberg,actor,Government member at cabinet meeting,
A Man of Nerve,1925,Leon Holmes,actor,Buddy Simms,3.0
April Fool,1926,Leon Holmes,actor,Leon Steinfield - a Child,10.0
Atlantic Adventure,1935,Leon Holmes,actor,Copy Boy,
Battling Brewster,1924,Leon Holmes,actor,Dempsey,3.0
Faithful in My Fashion,1946,Leon Holmes,actor,Sergeant Frank,
Freshman Year,1938,Leon Holmes,actor,Freckled Freshman,
Frisco Sally Levy,1927,Leon Holmes,actor,Michael Abraham Lapidowitz,4.0
Guilty Parents,1934,Leon Holmes,actor,Bob,9.0
Happy Landing,1934,Leon Holmes,actor,Pilot,
Hogan's Alley,1925,Leon Holmes,actor,Child,
I Love That Man,1933,Leon Holmes,actor,Abe - Cohen's Son,17.0
Out of the Storm,1926,Leon Holmes,actor,Office Boy,10.0
Poker Faces,1926,Leon Holmes,actor,The Office Boy,7.0
Redheads Preferred,1926,Leon Holmes,actor,Office Boy,7.0
That Model from Paris,1926,Leon Holmes,actor,Office Boy,10.0
The Big Broadcast of 1936,1935,Leon Holmes,actor,Messenger Boy,
The Block Signal,1926,Leon Holmes,actor,'Unhandy' Andy,6.0
The Dummy,1929,Leon Holmes,actor,Moicury,
The Final Extra,1927,Leon Holmes,actor,The Copyboy,7.0
The Flying Horseman,1926,Leon Holmes,actor,Happy Joe's Son,
The Happy Warrior,1925,Leon Holmes,actor,Freckled face boy,
The Jazz Singer,1927,Leon Holmes,actor,Moey,
The King of Kings,1927,Leon Holmes,actor,Imbecile Boy,37.0
The Shamrock and the Rose,1927,Leon Holmes,actor,Sammy Cohen,8.0
The Wolf Dog,1933,Leon Holmes,actor,Napoleon,
Union Pacific,1939,Leon Holmes,actor,Vendor,
Wise Blood,1979,Leonard Holmes,actor,Stranger #5,20.0
"Karate, the Hand of Death",1961,Joel (III) Holt,actor,Matt Carver,1.0
Nutshells: A Brat from the Bayou,2002,Leo Honeycutt,actor,Virgo Varnado,
The Lady Is a Doll,2004,Leo Honeycutt,actor,Mr. Owens,
Kung Fu Panda,2008,James Hong,actor,Mr. Ping,10.0
Kung Fu Panda 2,2011,James Hong,actor,Mr. Ping,9.0
Kung Fu Panda 3,2016,James Hong,actor,Mr. Ping,11.0
Hiljaisuus,2011,Leo Honkonen,actor,Panssariluutnantti,20.0
Tuntematon sotilas,2017,Leo Honkonen,actor,Jalovaara,
