title,year,name,type,character,n
It's Kind of a Funny Story,2010,Leo Allen,actor,Mr. Reynolds,28.0
Just Wright,2010,Leo Allen,actor,Paul,24.0
Turbocharge: The Unauthorized Story of The Cars,2008,Leo Allen,actor,Clive Davis,
Who's the Caboose?,1999,Leo Allen,actor,Congratulator #2,5.0
One Love,2003,Leon C. Allen,actor,Innocent Kru,
Wer wenn nicht wir,2011,Leo Mio Allenberg,actor,Felix - 1 Monat,29.0
Kung mangarap ka't magising,1977,Alfie Alonso,actor,Estudyante,23.0
El Vigilante,2016,Leonardo Alonso,actor,Salvador,
Espiral,2008,Leonardo Alonso,actor,Santiago 2,7.0
Familia Gang,2014,Leonardo Alonso,actor,Azteca,
Perras,2011,Leonardo Alonso,actor,Tortured man,
Sin nombre,2009,Leonardo Alonso,actor,Policía Judicial,2.0
"Kung ayaw mo, huwag mo!",1998,Steven Alonso,actor,Paul,12.0
Karate sa Karate,1965,Alberto Alonzo,actor,Agent 69,2.0
"Kung kaya mo, kaya mo rin!",1996,Rolly Alonzo,actor,Goon,51.0
Beziehungsweisen,2012,Leopold Altenburg,actor,Herrmann,1.0
Fucking Berlin,2016,Leopold Altenburg,actor,Freier aus Wien,
Ich gelobe,1994,Leopold Altenburg,actor,Tomschitz,5.0
Tempo (II),1996,Leopold Altenburg,actor,Jojo's Brother,13.0
Summer Rental,1985,Leonard Altobell,actor,Race Official,32.0
36 Hours,1964,Leon Alton,actor,German Soldier,
A Foreign Affair,1948,Leon Alton,actor,Military Reporter,
A House Is Not a Home,1964,Leon Alton,actor,Customer at Party,
A Star Is Born,1954,Leon Alton,actor,Usher,
Aaron Slick from Punkin Crick,1952,Leon Alton,actor,College Inn Patron,
Ada,1961,Leon Alton,actor,Spectator at Rally,
Advance to the Rear,1964,Leon Alton,actor,Waiter,
Advise & Consent,1962,Leon Alton,actor,Senator,
Airport,1970,Leon Alton,actor,Man on Dias,
Airport,1970,Leon Alton,actor,Man at Club,
Alex in Wonderland,1970,Leon Alton,actor,Theatre Patron,
Alias Nick Beal,1949,Leon Alton,actor,Supporter,
Angels in the Outfield,1951,Leon Alton,actor,Radio Technician,
April in Paris,1952,Leon Alton,actor,Stagehand,
Batman: The Movie,1966,Leon Alton,actor,Official,
Bedknobs and Broomsticks,1971,Leon Alton,actor,Soldier at Portobello Road,
Big Jim McLain,1952,Leon Alton,actor,Reporter,
Brainstorm,1965,Leon Alton,actor,Spectator,
Calamity Jane,1953,Leon Alton,actor,Townsman,
Call Me Madam,1953,Leon Alton,actor,Minor Role,
Captain Kidd and the Slave Girl,1954,Leon Alton,actor,Pirate,
Cimarron,1960,Leon Alton,actor,Townsman at Celebration,
College Holiday,1936,Leon Alton,actor,Dancer,
Critic's Choice,1963,Leon Alton,actor,Audience Member,
Cry Danger,1951,Leon Alton,actor,Bartender,
Dangerous When Wet,1953,Leon Alton,actor,Spectator at Photoshoot,
Days of Wine and Roses,1962,Leon Alton,actor,Party Guest,
Dear Heart,1964,Leon Alton,actor,Coffee Shop Patron,
Desperate,1947,Leon Alton,actor,Bus Passenger,
Destination Murder,1950,Leon Alton,actor,Nightclub Patron,
Divorce American Style,1967,Leon Alton,actor,Bank Officer,
Do Not Disturb,1965,Leon Alton,actor,Party Guest,
Down Among the Sheltering Palms,1953,Leon Alton,actor,Minor Role,
For Love or Money,1963,Leon Alton,actor,Wedding Guest,
G.I. Blues,1960,Leon Alton,actor,Patron of Cafe Europa,
Gun for a Coward,1957,Leon Alton,actor,Fight Spectator,
He Rides Tall,1964,Leon Alton,actor,Townsman,
Heller in Pink Tights,1960,Leon Alton,actor,Cheyenne Townsman,
Hellfighters,1968,Leon Alton,actor,Man Entering Restaurant,
Holiday for Lovers,1959,Leon Alton,actor,Party Guest,
Hollywood or Bust,1956,Leon Alton,actor,Casino Patron,
"Hook, Line and Sinker",1969,Leon Alton,actor,Burial Spectator,
How to Murder Your Wife,1965,Leon Alton,actor,Club Member,
Illegal,1955,Leon Alton,actor,Court Clerk,
Inherit the Wind,1960,Leon Alton,actor,Townsman,
Kisses for My President,1964,Leon Alton,actor,Burlesque Show Spectator,
Knock on Wood,1954,Leon Alton,actor,Bellhop,
Looking for Love,1964,Leon Alton,actor,Nightclub Patron,
Lucky Me,1954,Leon Alton,actor,Man at Ladder,
Made in Paris,1966,Leon Alton,actor,Passerby,
Madison Avenue,1961,Leon Alton,actor,Andre - Maitre d',
Marnie,1964,Leon Alton,actor,Party Guest,
Mister Cory,1957,Leon Alton,actor,Bit Role,
My Dream Is Yours,1949,Leon Alton,actor,Club Patron,
My Six Loves,1963,Leon Alton,actor,Party Guest,
Never a Dull Moment,1968,Leon Alton,actor,Gambler,
Our Man Flint,1966,Leon Alton,actor,Military Officer at Meeting,
P.J.,1968,Leon Alton,actor,Party Guest,
Pal Joey,1957,Leon Alton,actor,Printer Salesman,
Party Girl,1958,Leon Alton,actor,Police Officer,
Phffft,1954,Leon Alton,actor,Nightclub Patron,
Sergeants 3,1962,Leon Alton,actor,Party Guest,
Sirocco,1951,Leon Alton,actor,Minor Role,
Sky Full of Moon,1952,Leon Alton,actor,Character,
Small Town Girl,1953,Leon Alton,actor,Townsman,
Somebody Loves Me,1952,Leon Alton,actor,Stagehand,
Somebody Up There Likes Me,1956,Leon Alton,actor,Fight Spectator,
Speedway,1968,Leon Alton,actor,Revenue Official,
Sweet Charity,1969,Leon Alton,actor,Dancer,
"Take Her, She's Mine",1963,Leon Alton,actor,Man at Airport,
Tender Is the Night,1962,Leon Alton,actor,Restaurant Patron,
The Absent Minded Professor,1961,Leon Alton,actor,Wedding Guest,
The Barefoot Executive,1971,Leon Alton,actor,TV Executive,
The Belle of New York,1952,Leon Alton,actor,Supper Club Patron,
The Best Man,1964,Leon Alton,actor,Russell Supporter,
The Boss,1956,Leon Alton,actor,Parade Spectator,
The Buccaneer,1958,Leon Alton,actor,Pirate,
The Cheyenne Social Club,1970,Leon Alton,actor,Barfly,
The Cincinnati Kid,1965,Leon Alton,actor,Poker Game Spectator,
The Computer Wore Tennis Shoes,1969,Leon Alton,actor,Collingsgood Associate,
The Facts of Life,1960,Leon Alton,actor,Board Member,
The Fastest Guitar Alive,1967,Leon Alton,actor,Barfly,
The George Raft Story,1961,Leon Alton,actor,Dance Hall Patron,
The Girl in White,1952,Leon Alton,actor,Interne at Rooftop Party,
The Girl Who Had Everything,1953,Leon Alton,actor,Reporter,
The Great Race,1965,Leon Alton,actor,Townsman,
The Green Berets,1968,Leon Alton,actor,Maitre d',
The Groom Wore Spurs,1951,Leon Alton,actor,Casino Patron,
The Horse in the Gray Flannel Suit,1968,Leon Alton,actor,Elevator Passenger,
The Incredible Mr. Limpet,1964,Leon Alton,actor,Officer at Fleet Admiral's Meeting,
The Iron Mistress,1952,Leon Alton,actor,Riverboat Passenger,
The Juggler,1953,Leon Alton,actor,Bus Driver,
The Killers,1964,Leon Alton,actor,Club Patron,
The Last Hurrah,1958,Leon Alton,actor,Banquet Guest,
The Lion and the Horse,1952,Leon Alton,actor,Rodeo Spectator,
The Love Bug,1968,Leon Alton,actor,Official,
The Love God?,1969,Leon Alton,actor,Club Patron,
The Man in the Gray Flannel Suit,1956,Leon Alton,actor,Cliff Otis,
The Marrying Kind,1952,Leon Alton,actor,Party Guest,
The Music Man,1962,Leon Alton,actor,Townsman,
The Night of the Grizzly,1966,Leon Alton,actor,Townsman,
The Night the World Exploded,1957,Leon Alton,actor,Scientist,
The Pleasure Seekers,1964,Leon Alton,actor,Party Guest,
The Ring,1952,Leon Alton,actor,Bartender,
The Sheepman,1958,Leon Alton,actor,Party Guest,
The Sound of Music,1965,Leon Alton,actor,Party Guest,
The Thrill of It All,1963,Leon Alton,actor,Party Guest,
The Unsinkable Molly Brown,1964,Leon Alton,actor,Miner,
The Wheeler Dealers,1963,Leon Alton,actor,Diner,
The Young Stranger,1957,Leon Alton,actor,Peter Kalish,
Thoroughly Modern Millie,1967,Leon Alton,actor,Party Guest,
Three for the Show,1955,Leon Alton,actor,Bit Role,
True Grit,1969,Leon Alton,actor,Boarding House Guest,
Twilight of Honor,1963,Leon Alton,actor,Courtroom Spectator,
What a Way to Go!,1964,Leon Alton,actor,Awards Ceremony Guest,
You Can't Run Away from It,1956,Leon Alton,actor,Bus Passenger,
Youngblood Hawke,1964,Leon Alton,actor,Man With Newspapers,
"Yours, Mine and Ours",1968,Leon Alton,actor,Wedding Guest,
Zotz!,1962,Leon Alton,actor,Observer on Street,
RoboCop 2,1990,Leon Alvarado,actor,Field reporter,
The Trust,1993,Leon Alvarado,actor,Graduate,
Tin Cup,1996,Leon Alvarado,actor,Golf Spectator,
The Bookie,2008,Leonard Alvarado,actor,Crazed Prisoner,
Kung gumire parang tandang...,1973,Max Alvarado,actor,Sharob,4.0
Wal-Bob's,2014,Leo Alvarez,actor,Peanut,
Our Tokyo,2015,Leonardo Alvarez,actor,Himself,
Coldwood,2012,Leonardo Amato,actor,Tom,
Geography Club,2013,Leonardo Amato,actor,Student,
Love Me (IV),2013,Leonardo Amato,actor,Young Michael,
The Kitchen. World Chef Battle,2017,Leonardo Amato,actor,Gaston,
Thor: The Dark World,2013,Leonardo Amato,actor,Sel,
45 Fathers,1937,Leon Ames,actor,Vincent,7.0
A Date with Judy,1948,Leon Ames,actor,Lucien T. Pringle,9.0
A Successful Calamity,1932,Leon Ames,actor,Barney Davis - Witon's Junior Associate,16.0
Alias a Gentleman,1948,Leon Ames,actor,Matt Enley,5.0
Alimony Madness,1933,Leon Ames,actor,John Thurman,2.0
Ambush,1950,Leon Ames,actor,Maj. C.E. Breverly,7.0
Anchors Aweigh,1945,Leon Ames,actor,Admiral's Aide,13.0
Angel Face,1953,Leon Ames,actor,Fred Barrett,5.0
Any Number Can Play,1949,Leon Ames,actor,Dr. Palmer,11.0
Battleground,1949,Leon Ames,actor,The Chaplain,11.0
Between Two Women,1945,Leon Ames,actor,Mr. Masters,
Blackwell's Island,1939,Leon Ames,actor,County Prosceutor Ballinger,
Bluebeard's Eighth Wife,1938,Leon Ames,actor,Ex-Chauffeur,
Brother of the Wind,1973,Leon Ames,actor,Narrator,
By the Light of the Silvery Moon,1953,Leon Ames,actor,George Winfield,3.0
Calling All Marines,1939,Leon Ames,actor,Murdock,6.0
Cannonball Express,1932,Leon Ames,actor,Jack Logan,4.0
